index,text,cleaned_text,sentiment
8000,"@nytimes and @CNN praised @FoxNews and they thought they did a good job #GOPDebate 
Not a good thing",@ nytimes @ cnn praised @ foxnews thought good job # gopdebate good thing,positive
8001,More  #hypocrisy from @GovKasich and his #lbgt insight with some unknown god that agrees with #sodomy #GOPDebate  https://t.co/8xADP0WwTQ,# hypocrisy @ govkasich # lbgt insight unknown god agrees # sodomy # gopdebate http : //t.co/8xadp0wwtq,positive
8002,RT @monaeltahawy: Has any candidate received a word from God?! Presidential hopefuls?! This is America?! Christian Brotherhood of America #…,rt @ monaeltahawy : candidate received word god ? ! presidential hopeful ? ! america ? ! christian brotherhood america # …,positive
8003,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,rt @ ericstonestreet : trump cam hand . # gopdebates,positive
8004,"Watched the #GOPDebate from last night and damn, trump went off.Polls are showing that most people think he won will be interesting goin fwd","watched # gopdebate last night damn , trump went off.polls showing people think interesting goin fwd",positive
8005,"Chris Christie: ""Bill of Rights?"" ""Constitution?"" ""Never heard of 'em."" #GOPDebate",chris christie : `` bill right ? '' `` constitution ? '' `` never heard 'em . '' # gopdebate,positive
8006,"gop will keep looking inept next to trump until they can say, ""some of you people don't mean shit to me."" as well as he does #GOPDebate","gop keep looking inept next trump say , `` people n't mean shit . '' well # gopdebate",positive
8007,RT @RWSurferGirl: Breaking: Brian Williams just handed Chris Christie a donut to calm him down. 🇺🇸 #GOPDebate #GOPDebates,rt @ rwsurfergirl : breaking : brian williams handed chris christie donut calm . 🇺🇸 # gopdebate # gopdebates,positive
8008,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,rt @ rwsurfergirl : jeb bush reminds elevator music . hear n't listen . 🇺🇸 # gopdebate # gopdebates,positive
8009,RT @TH3R34LTRUTH: Y'all seen the @GOP tweet Vote 4 who u think won the debate but only if you donate 25 bucks. U wonder y we hate you #GOPD…,rt @ th3r34ltruth : y'all seen @ gop tweet vote 4 u think debate donate 25 buck . u wonder hate # gopd…,negative
8010,RT @YoungBLKRepub: Just saying. #GOPDebate http://t.co/zqcAONpaKj,rt @ youngblkrepub : saying . # gopdebate http : //t.co/zqcaonpakj,positive
8011,"#GOPDebate #GOP Marco Rubio had the best zinger of the night ""how fortunate we are to have so many good candidates while the Dems have none!",# gopdebate # gop marco rubio best zinger night `` fortunate many good candidate dems none !,positive
8012,I refuse to trust anyone who walked away from the GOP debate last night thinking that Ben Carson piqued your interest #GOPDebate,refuse trust anyone walked away gop debate last night thinking ben carson piqued interest # gopdebate,positive
8013,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,rt @ rwsurfergirl : jeb bush reminds elevator music . hear n't listen . 🇺🇸 # gopdebate # gopdebates,positive
8014,"Please note, this is not a lie. World only has 53.3 years of oil reserves left. Hello, anyone listening? #GOPDebate #uniteblue #cnn #manbc","please note , lie . world 53.3 year oil reserve left . hello , anyone listening ? # gopdebate # uniteblue # cnn # manbc",positive
8015,This is real life. These people are running for the most powerful office in the world. #GOPDebates http://t.co/LG74nHDeTw,real life . people running powerful office world . # gopdebates http : //t.co/lg74nhdetw,positive
8016,I like Ben! #GOPDebates,like ben ! # gopdebates,positive
8017,Trump all worried about being nice. He's been acting like a total mean girl for two months. What's changed now?! #GOPDebates #GOPDebate,trump worried nice . 's acting like total mean girl two month . 's changed ? ! # gopdebates # gopdebate,positive
8018,"RT @the818: Let's play ""how fast can we distance ourselves from Trump."" #GOPDebates #notme",rt @ the818 : let 's play `` fast distance trump . '' # gopdebates # notme,positive
8019,"In honor of last night's #GOPDebate, I'd like to add an exclamation point to the end of my name, and maybe get it put on Jeb! vanity plate.","honor last night 's # gopdebate , 'd like add exclamation point end name , maybe get put jeb ! vanity plate .",positive
8020,So @JohnKasich says we should respects all take care of the poor &amp; the sick ...Bad news he's Not getting the #GOP  nomination  #GOPDebate,@ johnkasich say respect take care poor & amp ; sick ... bad news 's getting # gop nomination # gopdebate,negative
8021,I loved it in the #GOPdebate when @JebBush made a reference to the 5 o'clock debate when discussing he wanted a Repub to win,loved # gopdebate @ jebbush made reference 5 o'clock debate discussing wanted repub win,positive
8022,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…","rt @ rwsurfergirl : think cruz trump need band together expose set job , get rid bush rubio , 🇺🇸 # gopdebate # g…",negative
8023,RT @SupermanHotMale: This #GopDebates makes me realize we have to raise the standards of who we let our kids listen to.,rt @ supermanhotmale : # gopdebates make realize raise standard let kid listen .,positive
8024,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,rt @ rwsurfergirl : american people pick next president united state fox news 🇺🇸 # gopdebate # gopdebates,positive
8025,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,rt @ rwsurfergirl : jeb bush reminds elevator music . hear n't listen . 🇺🇸 # gopdebate # gopdebates,positive
8026,"RT @SupermanHotMale: Total Theatre on Fox news tonight, no basis in fact at all... it's all garbage. #GopDebates","rt @ supermanhotmale : total theatre fox news tonight , basis fact ... 's garbage . # gopdebates",positive
8027,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…",rt @ rwsurfergirl : 'd really like see long candidate given speak . n't seem `` fair & amp ; balanced '' . 🇺🇸 # gopdebat…,positive
8028,#GOPDebates are going to make me an alcoholic!,# gopdebates going make alcoholic !,positive
8029,The #GOPDebate is actually terrifying. These are real people that could have real power and are bonafide racists and sexists.,# gopdebate actually terrifying . real people could real power bonafide racist sexist .,negative
8030,@megynkelly was the big loser in #GOPDebate  #FOXNEWSDEBATE,@ megynkelly big loser # gopdebate # foxnewsdebate,negative
